Mês,BRL,EUR,CNY,EGP,KRW,CLP,MXN,updated_at
Janeiro,"0,19","1,21","0,15","0,063","0,00089","0,0014","0,048",2023-02-01 12:10:40
Fevereiro,"0,191","1,212","0,149","0,0627","0,00089","0,0014","0,0475",2023-03-01 12:01:55
Março,"0,1915","1,216","0,15","0,0622","0,00089","0,00145","0,04725",2023-04-01 12:08:45
Abril,"0,19225","1,2118","0,151","0,0628","0,000891","0,00145","0,0468",2023-05-01 13:03:14
Maio,"0,19175","1,2124","0,15125","0,0632","0,000895","0,001455","0,046975",2023-05-01 13:03:14
Junho,"0,192375","1,2166","0,152125","0,062975","0,000893","0,00146","0,046925",2023-05-01 13:03:14
Julho,"0,191125","1,2098","0,151875","0,062725","0,000892","0,00146","0,047025",2023-05-01 13:03:14
Agosto,"0,19175","1,212475","0,15125","0,063225","0,000891","0,001455","0,0468",2023-05-01 13:03:14
Setembro,"0,19225","1,209025","0,15075","0,062525","0,000894","0,001455","0,047175",2023-05-01 13:03:14
Outubro,"0,191375","1,21465","0,1515","0,0628","0,00089","0,00146","0,0473",2023-05-01 13:03:14